Site code,HYMO  type,"Highly rheophilic, intolerant species","Rheophilic benthic species, preferring sandy-gravel bottom substrate","Rheophilic water column species, preferring sandy-gravel bottom substrate",Limnophilic benthic species of moderate tolerance,Limnophilic water column species of moderate tolerance,"Intolerant, rheophilic benthic species, preferring detritus or pelal bottom substrate","Intolerant, water column species",Limnophilic lithophilic species of moderate tolerance,Limnophilic phytophilic species of moderate tolerance,Benthic species  of moderate tolerance,Generalists - tolerant species
AT_119,1,1,0,0,0,0,0,0,0,0,0,0
AT_1234,2,0.897142857,0,0.102857143,0,0,0,0,0,0,0,0
AT_244,2,0.985507246,0,0.014492754,0,0,0,0,0,0,0,0
AT_263,3,0.576576577,0,0.423423423,0,0,0,0,0,0,0,0
AT_2927,1,0.433333333,0,0.566666667,0,0,0,0,0,0,0,0
AT_2928,1,0.792857143,0,0.207142857,0,0,0,0,0,0,0,0
AT_3200,1,0.540983607,0,0.459016393,0,0,0,0,0,0,0,0
AT_3947,1,0.851851852,0,0.148148148,0,0,0,0,0,0,0,0
AT_43,1,0.992,0,0.008,0,0,0,0,0,0,0,0
AT_4599,3,0.332568807,0.422018349,0.075688073,0,0,0,0,0,0.009174312,0,0.160550459
AT_4678,1,0.96,0,0.04,0,0,0,0,0,0,0,0
AT_4885,1,0.559139785,0,0.311827957,0,0,0,0.010752688,0,0,0,0.11827957
AT_5202,3,0.828092243,0.033542977,0.136268344,0,0,0,0,0,0,0,0.002096436
AT_5342,2,1,0,0,0,0,0,0,0,0,0,0
AT_56,2,1,0,0,0,0,0,0,0,0,0,0
AT_5616,3,0.438655462,0.282352941,0.272268908,0,0,0,0,0,0.001680672,0,0.005042017
AT_5759,4,0.33744856,0.41563786,0.24691358,0,0,0,0,0,0,0,0
AT_5781,3,0.962025316,0,0.037974684,0,0,0,0,0,0,0,0
AT_5783,2,1,0,0,0,0,0,0,0,0,0,0
AT_595,1,0.798319328,0,0.201680672,0,0,0,0,0,0,0,0
AT_676,2,0.978723404,0,0.021276596,0,0,0,0,0,0,0,0
AT_728,1,0.634146341,0,0.365853659,0,0,0,0,0,0,0,0
AT_827,2,0.982300885,0,0.017699115,0,0,0,0,0,0,0,0
AT_872,3,0.8671875,0,0.1328125,0,0,0,0,0,0,0,0
AT_879,2,1,0,0,0,0,0,0,0,0,0,0
AT_886,1,1,0,0,0,0,0,0,0,0,0,0
AT_891,2,1,0,0,0,0,0,0,0,0,0,0
CZAOPK_2004,3,1,0,0,0,0,0,0,0,0,0,0
CZAOPK_2026,3,0.157480315,0.25984252,0.57480315,0,0,0,0,0,0,0,0.007874016
CZAOPK_2028,3,0.8,0.035978836,0.164021164,0,0,0,0,0,0,0,0
CZAOPK_2031,3,0.695560254,0.097251586,0.207188161,0,0,0,0,0,0,0,0
CZAOPK_2034,3,0.444444444,0.111111111,0.444444444,0,0,0,0,0,0,0,0
CZAOPK_2039,1,0,0.093896714,0.906103286,0,0,0,0,0,0,0,0
CZREF_034,3,0,0.143835616,0.657534247,0,0,0,0,0,0,0,0.198630137
CZREF_052,1,1,0,0,0,0,0,0,0,0,0,0
CZREF_073,1,1,0,0,0,0,0,0,0,0,0,0
CZREF_086,3,0.035897436,0.266666667,0.697435897,0,0,0,0,0,0,0,0
CZREF_091,3,0.018666667,0.546666667,0.290666667,0,0,0,0,0,0.12,0,0.024
CZREF_120,1,1,0,0,0,0,0,0,0,0,0,0
CZREF_127,1,0.118870728,0.313521545,0.564635958,0,0,0,0,0,0,0,0.002971768
CZREF_165,3,1,0,0,0,0,0,0,0,0,0,0
EE_10131_3,5,0.2,0.3,0.3,0.025,0,0,0,0,0,0.05,0.125
EE_10365_2,5,0.001597444,0.022364217,0.974440895,0,0,0,0,0,0,0,0.001597444
EE_10374_1,5,0.122857143,0,0.865714286,0,0,0,0,0,0,0,0.011428571
EE_10526_1,5,0.102918587,0.164362519,0.717357911,0,0,0,0,0,0.003072197,0,0.012288786
EE_10526_2,5,0.005464481,0.027322404,0.366120219,0,0,0,0,0,0.038251366,0.005464481,0.557377049
EE_10599_1,5,0.041436464,0.205801105,0.740331492,0,0,0,0,0,0.005524862,0,0.006906077
EE_11196_1,6,0.398601399,0.146853147,0.020979021,0,0,0,0,0,0.083916084,0,0.34965035
EE_11409_1,5,0.004,0.026666667,0.966666667,0,0,0,0,0,0.001333333,0.001333333,0
EE_11459_2,6,0.045454545,0.209090909,0.618181818,0,0,0.127272727,0,0,0,0,0
EE_11468_2,6,0.408888889,0.333333333,0.217777778,0,0,0.026666667,0,0,0.013333333,0,0
EE_11581_1,5,0.3828125,0.1171875,0.453125,0,0,0.0390625,0,0,0,0.0078125,0
ES_06_0001,7,1,0,0,0,0,0,0,0,0,0,0
ES_06_0009,7,1,0,0,0,0,0,0,0,0,0,0
ES_06_0015,7,0.125,0,0,0,0,0,0,0,0,0,0.875
ES_07_0017,8,0.807692308,0,0,0,0,0,0,0,0,0,0.192307692
ES_08_0001,2,1,0,0,0,0,0,0,0,0,0,0
ES_08_0002,2,1,0,0,0,0,0,0,0,0,0,0
ES_08_0008,2,1,0,0,0,0,0,0,0,0,0,0
ES_08_0014,2,1,0,0,0,0,0,0,0,0,0,0
ES_20_0021,2,0.701298701,0,0.285714286,0,0,0,0,0,0,0,0.012987013
ES_22_0002,9,1,0,0,0,0,0,0,0,0,0,0
ES_23_0018,7,0.084507042,0.042253521,0,0,0,0,0,0.845070423,0,0,0.028169014
ES_31_0002,7,1,0,0,0,0,0,0,0,0,0,0
